All device pins and their pinmux options
Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
B5,GPIO91,,GPIO91,,EMIF1_A18,EMIF1_DQM3,GPIO91,,I2CA_SDA,,GPIO91,EMIF1_DQM2,PMBUSA_SCL,SSIA_TX,GPIO91,FSIRXF_D0,CLB_OUTPUTXBAR1,SPID_SIMO
C5,GPIO165,,GPIO165,EPWM11A,,,GPIO165,,,,GPIO165,,MDXA,,GPIO165,,ESC_RX0_DATA0,
A4,GPIO92,,GPIO92,,EMIF1_A19,EMIF1_BA1,GPIO92,,I2CA_SCL,,GPIO92,EMIF1_DQM0,PMBUSA_SDA,SSIA_RX,GPIO92,FSIRXF_D1,CLB_OUTPUTXBAR2,SPID_SOMI
D5,GPIO166,,GPIO166,EPWM11B,,,GPIO166,,,,GPIO166,,MDRA,,GPIO166,,ESC_RX0_DATA1,
B4,GPIO93,,GPIO93,,EMIF1_A20,EMIF1_BA0,GPIO93,,SCID_TX,,GPIO93,,PMBUSA_ALERT,SSIA_CLK,GPIO93,FSIRXF_CLK,CLB_OUTPUTXBAR3,SPID_CLK
C4,GPIO167,,GPIO167,EPWM12A,,,GPIO167,,,,GPIO167,,MCLKXA,,GPIO167,,ESC_RX0_DATA2,
A3,GPIO94,,GPIO94,,EMIF1_A21,,GPIO94,,SCID_RX,,GPIO94,EMIF1_BA1,PMBUSA_CTL,SSIA_FSS,GPIO94,FSIRXG_D0,CLB_OUTPUTXBAR4,SPID_STEn
D4,GPIO168,,GPIO168,EPWM12B,,,GPIO168,,,,GPIO168,,MFSXA,,GPIO168,,ESC_RX0_DATA3,
B3,GPIO95,,GPIO95,,,EMIF2_A12,GPIO95,,,,GPIO95,,,,GPIO95,FSIRXG_D1,CLB_OUTPUTXBAR5,
C3,GPIO96,,GPIO96,,,EMIF2_DQM1,GPIO96,EQEP1_A,,,GPIO96,,,,GPIO96,FSIRXG_CLK,CLB_OUTPUTXBAR6,
A2,GPIO97,,GPIO97,,,EMIF2_DQM0,GPIO97,EQEP1_B,,,GPIO97,,,,GPIO97,FSIRXH_D0,CLB_OUTPUTXBAR7,
B2,GPIO10,,GPIO10,EPWM6A,CANB_RX,ADCSOCBO,GPIO10,EQEP1_A,SCIB_TX,,GPIO10,MCAN_RX,ESC_GPO2,,GPIO10,FSIRXB_D1,FSITXA_CLK,FSIRXA_D1
C1,GPIO11,,GPIO11,EPWM6B,SCIB_RX,OUTPUTXBAR7,GPIO11,EQEP1_B,SCIB_RX,,GPIO11,,ESC_GPO3,,GPIO11,FSIRXB_CLK,FSIRXA_D1,
C2,GPIO12,,GPIO12,EPWM7A,CANB_TX,MDXB,GPIO12,EQEP1_STROBE,SCIC_TX,,GPIO12,,ESC_GPO4,,GPIO12,FSIRXC_D0,FSIRXA_D0,
D1,GPIO13,,GPIO13,EPWM7B,CANB_RX,MDRB,GPIO13,EQEP1_INDEX,SCIC_RX,,GPIO13,,ESC_GPO5,,GPIO13,FSIRXC_D1,FSIRXA_CLK,
D2,GPIO14,,GPIO14,EPWM8A,SCIB_TX,MCLKXB,GPIO14,,OUTPUTXBAR3,,GPIO14,,ESC_GPO6,,GPIO14,FSIRXC_CLK,,
D3,GPIO15,,GPIO15,EPWM8B,SCIB_RX,MFSXB,GPIO15,,OUTPUTXBAR4,,GPIO15,,ESC_GPO7,,GPIO15,FSIRXD_D0,,
E1,GPIO16,,GPIO16,SPIA_SIMO,CANB_TX,OUTPUTXBAR7,GPIO16,EPWM9A,,SD1_D1,GPIO16,,,SSIA_TX,GPIO16,FSIRXD_D1,,
E2,GPIO17,,GPIO17,SPIA_SOMI,CANB_RX,OUTPUTXBAR8,GPIO17,EPWM9B,,SD1_C1,GPIO17,,,SSIA_RX,GPIO17,FSIRXD_CLK,,
E3,GPIO18,,GPIO18,SPIA_CLK,SCIB_TX,CANA_RX,GPIO18,EPWM10A,,SD1_D2,GPIO18,MCAN_RX,EMIF1_CS2n,SSIA_CLK,GPIO18,FSIRXE_D0,,
E4,GPIO19,,GPIO19,SPIA_STEn,SCIB_RX,CANA_TX,GPIO19,EPWM10B,,SD1_C2,GPIO19,MCAN_TX,EMIF1_CS3n,SSIA_FSS,GPIO19,FSIRXE_D1,,
F2,GPIO20,,GPIO20,EQEP1_A,MDXA,CANB_TX,GPIO20,EPWM11A,,SD1_D3,GPIO20,,EMIF1_BA0,,GPIO20,FSIRXE_CLK,SPIC_SIMO,
